Date,Origin,Price,Commodity,Location,Country,Continent,FOB_Price_Type,Currency/Unit
2020-12-03,APW,265.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-12-03,ASW,262.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-12-03,French 11.5,260.4945,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-12-03,German 12.5,256.9125,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-12-03,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-12-02,2SRW,258.0445715,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-12-02,US White,254.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-12-02,HRW 11,253.175806,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-12-02,HRW 12,258.687616,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-12-02,Argentine 12,251,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-12-02,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-12-02,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-12-02,French 11.5,260.549,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-12-02,German 12.5,256.753,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-12-02,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-12-01,2SRW,260.89234,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-12-01,US White,258.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-12-01,HRW 11,256.115438,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-12-01,HRW 12,261.627248,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-12-01,Argentine 12,252.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-12-01,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-12-01,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-12-01,French 11.5,260.837,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-12-01,German 12.5,257.0325,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-12-01,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-28,2SRW,268.792601,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-28,US White,263.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-28,HRW 11,263.280791,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-28,HRW 12,268.792601,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-28,HRS 13.5,236,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-28,Argentine 12,251.75,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-28,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-28,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-28,French 11.5,263.315,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-28,German 12.5,260.51,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-28,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-27,2SRW,265.7611055,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-27,US White,259.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-27,HRW 11,258.5957525,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-27,HRW 12,264.10756250000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-27,HRS 13.5,236,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-27,Argentine 12,251,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-27,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-27,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-27,French 11.5,262.74475,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-27,German 12.5,259.93575,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-27,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-26,2SRW,265.7611055,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-26,US White,259.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-26,HRW 11,258.5957525,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-26,HRW 12,264.10756250000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-26,HRS 13.5,236,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-26,Argentine 12,251,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-26,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-26,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-26,French 11.5,261.95975,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-26,German 12.5,259.15125,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-26,Black Sea Milling,251.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-25,2SRW,274.2125475,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-25,US White,259.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-25,HRW 11,264.934334,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-25,HRW 12,270.446144,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-25,HRS 13.5,236,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-25,Argentine 12,251,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-25,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-25,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-25,French 11.5,263.06275,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-25,German 12.5,260.24975,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-25,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-24,2SRW,269.6193725,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-24,US White,257.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-24,HRW 11,265.0261975,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-24,HRW 12,270.5380075,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-24,HRS 13.5,235,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-24,Argentine 12,252,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-24,APW,267.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-24,ASW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-24,French 11.5,260.1195,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-24,German 12.5,257.3025,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-24,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-21,2SRW,267.5983755,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-21,US White,257.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-21,HRW 11,264.6587435,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-21,HRW 12,270.1705535,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-21,HRS 13.5,235,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-21,Argentine 12,252,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-21,APW,265.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-21,ASW,259.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-21,French 11.5,260.47249999999997,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-21,German 12.5,257.6585,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-21,Black Sea Milling,251.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-20,2SRW,267.0471945,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-20,US White,257.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-20,HRW 11,264.10756250000003,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-20,HRW 12,269.6193725,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-20,HRS 13.5,234,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-20,Argentine 12,252,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-20,APW,265.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-20,ASW,259.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-20,French 11.5,259.85200000000003,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-20,German 12.5,257.03650000000005,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-20,Black Sea Milling,251.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-19,2SRW,269.2519185,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-19,US White,257.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-19,HRW 11,267.4146485,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-19,HRW 12,272.9264585,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-19,HRS 13.5,244,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-19,Argentine 12,252,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-19,APW,265.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-19,ASW,259.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-19,French 11.5,263.040925,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-19,German 12.5,260.227825,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-19,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-18,2SRW,268.3332835,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-18,US White,256.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-18,HRW 11,265.485515,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-18,HRW 12,270.997325,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-18,HRS 13.5,244,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-18,Argentine 12,252,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-18,APW,265.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-18,ASW,259.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-18,French 11.5,260.92265,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-18,German 12.5,257.10884999999996,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-18,Black Sea Milling,252.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-17,2SRW,269.343782,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-17,US White,256.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-17,HRW 11,267.506512,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-17,HRW 12,273.018322,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-17,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-17,Argentine 12,252,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-17,APW,265.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-17,ASW,259.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-17,French 11.5,259.264,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-17,German 12.5,255.44799999999998,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-17,Black Sea Milling,251.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-14,2SRW,267.690239,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-14,US White,255.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-14,HRW 11,265.301788,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-14,HRW 12,270.813598,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-14,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-14,Argentine 12,249.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-14,APW,260.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-14,ASW,254.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-14,French 11.5,259.4095,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-14,German 12.5,255.5928,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-14,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-13,2SRW,265.7611055,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-13,US White,255.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-13,HRW 11,262.362156,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-13,HRW 12,267.873966,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-13,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-13,Argentine 12,249.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-13,APW,260.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-13,ASW,254.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-13,French 11.5,258.43174999999997,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-13,German 12.5,254.61325,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-13,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-12,2SRW,269.343782,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-12,US White,258.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-12,HRW 11,267.9658295,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-12,HRW 12,273.4776395,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-12,HRS 13.5,248,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-12,Argentine 12,249.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-12,APW,260.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-12,ASW,254.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-12,French 11.5,259.634375,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-12,German 12.5,255.811875,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-12,Black Sea Milling,255.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-11,2SRW,273.202049,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-11,US White,258.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-11,HRW 11,270.629871,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-11,HRW 12,276.141681,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-11,HRS 13.5,249,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-11,Argentine 12,248,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-11,APW,260.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-11,ASW,254.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-11,French 11.5,261.49399999999997,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-11,German 12.5,257.676,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-11,Black Sea Milling,255.5,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-10,2SRW,269.160055,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-10,US White,255.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-10,HRW 11,267.322785,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-10,HRW 12,272.834595,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-10,HRS 13.5,247,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-10,Argentine 12,248,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-10,APW,260.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-10,ASW,254.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-10,French 11.5,259.421875,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-10,German 12.5,255.609375,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-10,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-07,2SRW,270.813598,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-07,US White,255.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-07,HRW 11,270.1705535,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-07,HRW 12,275.6823635,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-07,HRS 13.5,246,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-07,Argentine 12,250.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-07,APW,255.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-07,ASW,249.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-07,French 11.5,258.828125,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-07,German 12.5,255.015625,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-07,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-06,2SRW,273.4776395,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-06,US White,253.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-06,HRW 11,273.018322,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-06,HRW 12,278.530132,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-06,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-06,Argentine 12,247.75,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-06,APW,255.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-06,ASW,249.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-06,French 11.5,257.52,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-06,German 12.5,253.7,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-06,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-05,2SRW,272.283414,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-05,US White,253.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-05,HRW 11,271.8240965,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-05,HRW 12,277.3359065,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-05,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-05,Argentine 12,250.25,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-05,APW,260.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-05,ASW,254.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-05,French 11.5,253.065125,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-05,German 12.5,249.236625,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-05,Black Sea Milling,248.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-04,2SRW,273.018322,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-04,US White,253.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-04,HRW 11,270.813598,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-04,HRW 12,276.325408,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-04,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-04,Argentine 12,252.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-04,APW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-04,ASW,258.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-04,French 11.5,251.51812500000003,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-04,German 12.5,247.690625,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-04,Black Sea Milling,249.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-11-03,2SRW,272.834595,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-03,US White,253.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-11-03,HRW 11,269.343782,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-03,HRW 12,274.855592,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-11-03,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-11-03,Argentine 12,252.5,Wheat,UpRiver,Argentina,South America,Flat,US$/Mt
2020-11-03,APW,264.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-03,ASW,258.0,Wheat,WA,Australia,Australia,Flat,US$/Mt
2020-11-03,French 11.5,249.23000000000002,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-11-03,German 12.5,245.393,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-11-03,Black Sea Milling,250.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-31,2SRW,269.527509,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-31,US White,253.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-31,HRW 11,268.7007375,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-31,HRW 12,274.2125475,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-31,HRS 13.5,244,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-31,French 11.5,243.64847999999998,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-31,German 12.5,241.23899999999998,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-31,Black Sea Milling,253.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-30,2SRW,271.4566425,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-30,US White,250.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-30,HRW 11,268.976328,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-30,HRW 12,274.488138,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-30,HRS 13.5,244,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-30,French 11.5,243.56655,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-30,German 12.5,241.155,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-30,Black Sea Milling,255.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-29,2SRW,273.29,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-29,US White,252.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-29,HRW 11,269.44,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-29,HRW 12,274.95,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-29,HRS 13.5,245,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-29,French 11.5,244.48,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-29,German 12.5,242.05,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-29,Black Sea Milling,255.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-28,2SRW,275.8660905,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-28,US White,252.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-28,HRW 11,271.6403695,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-28,HRW 12,277.1521795,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-28,HRS 13.5,249,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-28,French 11.5,248.21706,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-28,German 12.5,245.76825000000002,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-28,Black Sea Milling,258.5,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-27,2SRW,277.42777,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-27,US White,252.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-27,HRW 11,272.650868,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-27,HRW 12,278.162678,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-27,HRS 13.5,249,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-27,French 11.5,249.78024,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-27,German 12.5,247.3335,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-27,Black Sea Milling,258.5,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-24,2SRW,282.1128085,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-24,US White,252.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-24,HRW 11,279.1731765,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-24,HRW 12,284.6849865,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-24,HRS 13.5,251,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-24,French 11.5,253.05597,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-24,German 12.5,250.606125,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-24,Black Sea Milling,256.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-22,2SRW,281.0104465,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-22,US White,248.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-22,HRW 11,279.1731765,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-22,HRW 12,284.6849865,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-22,HRS 13.5,250,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-22,French 11.5,255.80015999999998,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-22,German 12.5,253.34099999999998,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-22,Black Sea Milling,255.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-21,2SRW,281.837218,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-21,US White,247.0,Wheat,PNW,USA,North America,Flat,US$/Mt
2020-10-21,HRW 11,277.795224,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-21,HRW 12,283.307034,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-21,HRS 13.5,248,Wheat,Lakes,USA,North America,Flat,US$/Mt
2020-10-21,French 11.5,254.72356,Wheat,Rouen,France,Europe,Flat,US$/Mt
2020-10-21,German 12.5,253.45775,Wheat,Rostoc,Germany,Europe,Flat,US$/Mt
2020-10-21,Black Sea Milling,251.0,Wheat,NTT,Russia,Europe,Flat,US$/Mt
2020-10-20,2SRW,279.999948,Wheat,Gulf,USA,North America,Flat,US$/Mt
2020-10-20,US White,247.0,Wheat,PNW,USA,North America,Flat,US$/Mt
